Scheduling Activity Information (SCH)

Sequence	length	Data Type	Required	Repetition	Name
1	75	EI	OPT	NO_RPT	Placer Appointment ID
2	75	EI	REQ	NO_RPT	Filler Appointment ID
3	5	NM	OPT	NO_RPT	Occurrence Number
4	22	EI	OPT	NO_RPT	Placer Group Number
5	200	CE	OPT	NO_RPT	Schedule ID
6	200	CE	OPT	NO_RPT	Event Reason
7	200	CE	OPT	NO_RPT	Appointment Reason
8	200	CE	OPT	NO_RPT	Appointment Type
9	20	NM	OPT	NO_RPT	Appointment Duration
10	200	CE	OPT	NO_RPT	Appointment Duration Units
11	200	TQ	REQ	NO_RPT	Appointment Timing Quantity
12	48	XCN	OPT	NO_RPT	Placer Contact Person
13	40	XTN	OPT	NO_RPT	Placer Contact Phone Number
14	106	XAD	OPT	NO_RPT	Placer Contact Address
15	80	PL	OPT	NO_RPT	Placer Contact Location
16	38	XCN	OPT	NO_RPT	Filler Contact Person
17	40	XTN	OPT	NO_RPT	Filler Contact Phone Number
18	106	XAD	OPT	NO_RPT	Filler Contact Address
19	80	PL	OPT	NO_RPT	Filler Contact Location
20	48	XCN	OPT	NO_RPT	Entered by Person
21	40	XTN	OPT	NO_RPT	Entered by Phone Number
22	80	PL	OPT	NO_RPT	Entered by Location
23	75	EI	OPT	NO_RPT	Parent Placer Appointment ID
24	75	EI	OPT	NO_RPT	Parent Filler Appointment ID
25	200	CE	OPT	NO_RPT	Filler Status Code
